label,split,query,local_path,file_name,source_title,source_page_url,download_url,source_sha1,download_sha256,local_sha256,license,artist,credit,mime,width,height,audit_status
firearms,train,rifle advertisement filetype:bitmap,data/wikimedia_pilot/train/firearms/firearms_train_dc65943ea0be.jpg,firearms_train_dc65943ea0be.jpg,File:KleinsAd1963.jpg,https://commons.wikimedia.org/wiki/File:KleinsAd1963.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9c/KleinsAd1963.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,dc65943ea0be1ba4637fa704f1fe3f9de6403950,6bcde2a151fdb067e546e1a146e12ff623297a048fff3a92c5a33e186ce219e6,9fb25b88a9a89baa32370eaab6d429eb9fe968120349fb5c9b68ac8552be6ae0,Public domain,Klein's Sporting Goods,http://mcadams.posc.mu.edu/kleins.jpg,image/jpeg,450,617,pending_visual_review
firearms,val,firearm display filetype:bitmap,data/wikimedia_pilot/val/firearms/firearms_val_a1b84b3316e8.jpg,firearms_val_a1b84b3316e8.jpg,"File:Walther Arms, Inc Display at GAOS.jpg","https://commons.wikimedia.org/wiki/File:Walther_Arms,_Inc_Display_at_GAOS.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Walther_Arms%2C_Inc_Display_at_GAOS.jpg/960px-Walther_Arms%2C_Inc_Display_at_GAOS.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,a1b84b3316e8bd8560d5b073ca95090e12936282,31deb891ff12d2a944db37416fb640801e92cf2d97b90ac5755f3ce9bfbd29e9,3660426479520800316180d38c9ac35e3a04cbbc26601079deb9087e0f9b6346,CC BY 4.0,Digitallymade,Own work,image/jpeg,768,366,pending_visual_review
firearms,val,firearm display filetype:bitmap,data/wikimedia_pilot/val/firearms/firearms_val_381b071aca85.jpg,firearms_val_381b071aca85.jpg,File:Heckler & Koch G3 Holzschaft Display noBG.png,https://commons.wikimedia.org/wiki/File:Heckler_%26_Koch_G3_Holzschaft_Display_noBG.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Heckler_%26_Koch_G3_Holzschaft_Display_noBG.png/960px-Heckler_%26_Koch_G3_Holzschaft_Display_noBG.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,381b071aca853ac87825e13be8e4acd88374fb0a,a54e42ab69ca77b192a77d1f9b144b3b9f2d143542ac2fbd64ffb48f740ba7db,bfa927a4a436c7ff66cd4ac0979236cc144f0233e66b1b04f70c31bd7fc21ccc,CC BY-SA 4.0,Armémuseum (Swedish Army Museum),https://commons.wikimedia.org/wiki/File:Heckler_%26_Koch_G3_Swedish_trial_specimen_001.jpg https://commons.wikimedia.org/wiki/File:Heckler_%26_Koch_G3_Swedish_trial_specimen_002.jpg,image/png,768,378,pending_visual_review
firearms,val,firearm display filetype:bitmap,data/wikimedia_pilot/val/firearms/firearms_val_a7122c3120ca.jpg,firearms_val_a7122c3120ca.jpg,File:Heckler & Koch G3 Kunststoffschaft Display noBG.png,https://commons.wikimedia.org/wiki/File:Heckler_%26_Koch_G3_Kunststoffschaft_Display_noBG.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Heckler_%26_Koch_G3_Kunststoffschaft_Display_noBG.png/960px-Heckler_%26_Koch_G3_Kunststoffschaft_Display_noBG.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,a7122c3120ca59cedca5e239028024bac1987363,4c99d36aedf2b85d5ef4052206009c5f63956c9f8a7dde09175f214a30a64f35,6bf8dde981538a9345b2e98176f1b3b1a506e55e905116cd9d56a0e330a580ee,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/User:Harald_Hansen,https://commons.wikimedia.org/wiki/File:Automatic_rifle_AG-3_right.jpg https://commons.wikimedia.org/wiki/File:Automatic_rifle_AG-3_left.jpg,image/png,768,384,pending_visual_review
firearms,val,firearm display filetype:bitmap,data/wikimedia_pilot/val/firearms/firearms_val_21db7f2e05ab.jpg,firearms_val_21db7f2e05ab.jpg,File:RemingtonVestPocketNo1.jpg,https://commons.wikimedia.org/wiki/File:RemingtonVestPocketNo1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/RemingtonVestPocketNo1.jpg/960px-RemingtonVestPocketNo1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,21db7f2e05abd83aad9e596e2275d00be432d6be,a706f787f494321893aa73d26073ccd67e087db7c6f54a8cfaaf866001438f58,183093138c7b3e345f40548dd47d60d15451544f37d840d440a054470f73a009,CC BY 4.0,DrReload,Own work,image/jpeg,768,497,pending_visual_review
firearms,test,revolver photograph filetype:bitmap,data/wikimedia_pilot/test/firearms/firearms_test_7d806f2bc687.jpg,firearms_test_7d806f2bc687.jpg,File:Revolver Lefaucheux IMG 3108.jpg,https://commons.wikimedia.org/wiki/File:Revolver_Lefaucheux_IMG_3108.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Revolver_Lefaucheux_IMG_3108.jpg/960px-Revolver_Lefaucheux_IMG_3108.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,7d806f2bc6871ccdbb37fb2f6d25d0dcd536b470,fd9d3323585bcfe64afb06b436235679055ca2a44aff1672b7b37624e4b7fc25,31a7826d81b04ed2467897e21193c5a7fd528d61ccca44a970ba893baab8ee48,CC BY-SA 2.0 fr,Rama,Own work,image/jpeg,768,512,pending_visual_review
firearms,test,revolver photograph filetype:bitmap,data/wikimedia_pilot/test/firearms/firearms_test_b97b4eccd9c2.jpg,firearms_test_b97b4eccd9c2.jpg,File:Revolver mod 1878 IMG 3100.jpg,https://commons.wikimedia.org/wiki/File:Revolver_mod_1878_IMG_3100.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Revolver_mod_1878_IMG_3100.jpg/960px-Revolver_mod_1878_IMG_3100.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,b97b4eccd9c27a256680207657be9894af7cf0b8,03ecf9324b37ebd0c431c8a6a17151a0822ba9f8a3f546ff9920d58358c5ab41,1c35a5dfd88bb280a06c6894e8fed154ea8e312443ce1a9dd00be05a2a0fad25,CC BY-SA 2.0 fr,Rama,Own work,image/jpeg,768,512,pending_visual_review
firearms,test,revolver photograph filetype:bitmap,data/wikimedia_pilot/test/firearms/firearms_test_8f545103cb00.jpg,firearms_test_8f545103cb00.jpg,File:.500 Linebaugh revolver variant.jpg,https://commons.wikimedia.org/wiki/File:.500_Linebaugh_revolver_variant.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/.500_Linebaugh_revolver_variant.jpg/960px-.500_Linebaugh_revolver_variant.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,8f545103cb008b1d2c908fe2a378a38ee369bf84,4059e5e771afba261800fafe553bafd8df5c875772191a04b0862a96a71496be,7d1cf828fba39500980d405019d6ecd3019e4193689bd54f16c9218e8f0f7441,CC BY-SA 3.0,SEMMERLING,My Photograph and layout exclusively for Wiki to demonstrate the .500 Linebaugh. Previously published: Not Published,image/jpeg,768,383,pending_visual_review
explosives,train,fireworks advertisement filetype:bitmap,data/wikimedia_pilot/train/explosives/explosives_train_15618430cce2.jpg,explosives_train_15618430cce2.jpg,File:Gyunyusekken Noren Summer.jpg,https://commons.wikimedia.org/wiki/File:Gyunyusekken_Noren_Summer.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Gyunyusekken_Noren_Summer.jpg/960px-Gyunyusekken_Noren_Summer.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,15618430cce2bc6b7f6d657d7c4cd07e96bb355d,a3968d2085d8c3474c83ecbdd5de9eb12d09a3965c3a4397aaa966647bcafd25,74c9ee2a4cb221faa2bb5836e24bc38a4607c20047eab9f7ef306ee069279358,CC BY-SA 3.0,撮影： ITA-ATU 撮影場所：「武蔵野浴場」入口（東京都武蔵野市緑町、2015年7月31日閉店、現存せず） のれん製作： 牛乳石鹸共進社株式会社,投稿者本人が撮影,image/jpeg,768,431,pending_visual_review
explosives,train,grenade photograph filetype:bitmap,data/wikimedia_pilot/train/explosives/explosives_train_73cb665d7a67.jpg,explosives_train_73cb665d7a67.jpg,File:Japan Type 10 grenade discharger.jpg,https://commons.wikimedia.org/wiki/File:Japan_Type_10_grenade_discharger.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Japan_Type_10_grenade_discharger.jpg/960px-Japan_Type_10_grenade_discharger.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,73cb665d7a67dbb997204fd3a2b019eed3c7b8d0,6b13ce83502ce246779ad39c473312814defb4bfaaf0a941b7d206d1d8f67ee1,ee10d292af4a47a536d1ee2634791ac2e04b955749723b3e227794497e10aeae,CC BY-SA 2.5,No machine-readable author provided. Makthorpe assumed (based on copyright claims).,No machine-readable source provided. Own work assumed (based on copyright claims).,image/jpeg,768,305,pending_visual_review
explosives,train,grenade photograph filetype:bitmap,data/wikimedia_pilot/train/explosives/explosives_train_7c750c3977f9.jpg,explosives_train_7c750c3977f9.jpg,File:Grenade - pont sur la save.jpg,https://commons.wikimedia.org/wiki/File:Grenade_-_pont_sur_la_save.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Grenade_-_pont_sur_la_save.jpg/960px-Grenade_-_pont_sur_la_save.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,7c750c3977f91f0f58359dc8348ccd9579d70320,4e7ebe285661ee71a6a5ef030f59d537309a0050efe58a88d718dedf83b75556,2ca13d3486ffdf4c033496d4c6b658f3ec65d79e986d6c44ee80ea825bd3ca33,CC BY-SA 4.0,Didier Descouens,Own work,image/jpeg,768,513,pending_visual_review
explosives,val,explosive ordnance museum filetype:bitmap,data/wikimedia_pilot/val/explosives/explosives_val_dd020909c102.jpg,explosives_val_dd020909c102.jpg,File:1918 German UXOs2.JPG,https://commons.wikimedia.org/wiki/File:1918_German_UXOs2.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/1918_German_UXOs2.JPG/960px-1918_German_UXOs2.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,dd020909c102da27defec85ac3562c6e758f122d,afeaf147c07d482fd368f0d648a8f4fc8531564d59343bbcca661515c0ba929a,dbf1814f578d8bbcb606b343540a47c062ecb5c1c9d13de00e8fa858bca772eb,Public domain,John Warwick Brooke,"1918 edition of ""The War Pictorial"" magazine IWM (Q 6017) This photograph Q 6017 comes from the collections of the Imperial War Museums .",image/jpeg,768,613,pending_visual_review
explosives,val,explosive ordnance museum filetype:bitmap,data/wikimedia_pilot/val/explosives/explosives_val_1599c9e8a92a.jpg,explosives_val_1599c9e8a92a.jpg,"File:Aircraft rocket and explosive ordnance at Swiss Air Force Museum, Dubendorf (Ank Kumar) 06.jpg","https://commons.wikimedia.org/wiki/File:Aircraft_rocket_and_explosive_ordnance_at_Swiss_Air_Force_Museum,_Dubendorf_(Ank_Kumar)_06.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Aircraft_rocket_and_explosive_ordnance_at_Swiss_Air_Force_Museum%2C_Dubendorf_%28Ank_Kumar%29_06.jpg/960px-Aircraft_rocket_and_explosive_ordnance_at_Swiss_Air_Force_Museum%2C_Dubendorf_%28Ank_Kumar%29_06.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1599c9e8a92a5aae36908347fb061f99b3cfc771,ff5e723c0a9d566fbf02858dc2fdf3714e79ca058cce70bbc62d1f03dcf2b81f,30ef8da2583e01c0631b37555d9bd497e682f6f247aa67e9feb96eab14c9ba8b,CC BY-SA 4.0,Ank Kumar,Own work,image/jpeg,768,390,pending_visual_review
explosives,test,bomb disposal photograph filetype:bitmap,data/wikimedia_pilot/test/explosives/explosives_test_f3d73765d23b.jpg,explosives_test_f3d73765d23b.jpg,File:ACFD-Bomb-Disposal-Unit.jpg,https://commons.wikimedia.org/wiki/File:ACFD-Bomb-Disposal-Unit.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/ACFD-Bomb-Disposal-Unit.jpg/960px-ACFD-Bomb-Disposal-Unit.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,f3d73765d23b9b19d142799fb3641593a95204b9,ff3c879b2dbbbe9e55278f0a1e3cc5b138e76cbcbbb5600bb0dee45f1a1f0206,675819d7b11650512b952fd27e0322e7984924fe8270f8f753762d406ea3dcbb,CC BY-SA 3.0,Zackmann08,Self-photographed,image/jpeg,768,548,pending_visual_review
financial_promotion,train,investment advertisement filetype:bitmap,data/wikimedia_pilot/train/financial_promotion/financial_promotion_train_cf68dfd0fea9.jpg,financial_promotion_train_cf68dfd0fea9.jpg,File:Los Angeles-Bullfrog Realty & Investment Co. 1905 advertisement.png,https://commons.wikimedia.org/wiki/File:Los_Angeles-Bullfrog_Realty_%26_Investment_Co._1905_advertisement.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Los_Angeles-Bullfrog_Realty_%26_Investment_Co._1905_advertisement.png/960px-Los_Angeles-Bullfrog_Realty_%26_Investment_Co._1905_advertisement.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,cf68dfd0fea9ccf6edf6d7bb274efbb643e03b01,4b8e731c13955d9c99140a90ebedb989680307e4f3d60793c609aa2e806b9edf,ea327ac9b4c3300577f31ba77845ea24a122c7fa8dd9e3f4c505dcf3076932c0,Public domain,Los Angeles-Bullfrog Realty & Investment Co.,"Los Angeles herald, October 15, 1905",image/png,657,768,pending_visual_review
financial_promotion,train,investment advertisement filetype:bitmap,data/wikimedia_pilot/train/financial_promotion/financial_promotion_train_1aed323c38cb.jpg,financial_promotion_train_1aed323c38cb.jpg,File:What Safer Investment Than Your Own Business? - DPLA - e9e54ff809c9b4495b8d17fec1e0b485.jpg,https://commons.wikimedia.org/wiki/File:What_Safer_Investment_Than_Your_Own_Business%3F_-_DPLA_-_e9e54ff809c9b4495b8d17fec1e0b485.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/What_Safer_Investment_Than_Your_Own_Business%3F_-_DPLA_-_e9e54ff809c9b4495b8d17fec1e0b485.jpg/960px-What_Safer_Investment_Than_Your_Own_Business%3F_-_DPLA_-_e9e54ff809c9b4495b8d17fec1e0b485.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1aed323c38cb0763ac0c6d0b430175c28a197f06,56cf226b3a51729aa19ccd3599c86f297d767d6ee615abf89722b6506fc471fe,cc8d4e6c1f240b9db51d8572656aa0b4b213dc0d290b8a060e6b9717338c7c3c,Public domain,Dow Chemical Company,"This file was contributed to Wikimedia Commons by Science History Institute as part of a cooperation project. The donation was facilitated by the Digital Public Library of America , via its partner PA Digital . Record in source catalog DPLA identifier: e9e54ff809c9b4495b8d17fec1e0b485 Science History Institute identifier: padig:SHI-b72xhw5",image/jpeg,585,768,pending_visual_review
financial_promotion,test,cryptocurrency promotion filetype:bitmap,data/wikimedia_pilot/test/financial_promotion/financial_promotion_test_128923d1c757.jpg,financial_promotion_test_128923d1c757.jpg,File:Bitsquare.png,https://commons.wikimedia.org/wiki/File:Bitsquare.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Bitsquare.png/960px-Bitsquare.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,128923d1c7575e9d456f6bc710d295462dca8606,c836b4e82aca68db8f77063764fb4d36ea6f3de58875109efb43a2012e5e5f22,0d567cbb6a184d8d07ab8898fc7f828da78fed6c73983111c95831c2c0489a2f,CC BY-SA 4.0,Calva82,Own work,image/png,768,478,pending_visual_review
